time	V(1)	V(20)
Step Information: Amplitude=30m Frequency=1K  (Step: 1/36)
1.354087103363136e-03	3.174630e-02	2.931832e-01
1.375571478363136e-03	2.818253e-02	2.570475e-01
1.397055853363136e-03	2.410598e-02	2.158597e-01
1.418540228363136e-03	1.959083e-02	1.703775e-01
1.440024603363136e-03	1.471923e-02	1.214497e-01
1.461508978363136e-03	9.579821e-03	7.005504e-02
1.477133978363136e-03	5.727108e-03	3.205644e-02
1.481040228363136e-03	4.753848e-03	2.282606e-02
1.482993353363136e-03	4.266107e-03	1.841212e-02
1.484946478363136e-03	3.777724e-03	1.426103e-02
1.486575323128273e-03	3.369990e-03	1.109071e-02
1.487497375771428e-03	3.139021e-03	9.500484e-03
1.488349685461761e-03	2.925429e-03	8.221143e-03
1.489056982394181e-03	2.748114e-03	7.294293e-03
1.489662896344523e-03	2.596171e-03	6.601796e-03
1.490200182051500e-03	2.461407e-03	6.060599e-03
1.491143883082389e-03	2.224636e-03	5.240223e-03
1.492527995645506e-03	1.877230e-03	4.133262e-03
1.493008269401755e-03	1.756648e-03	3.705509e-03
1.493601713395182e-03	1.607632e-03	3.112251e-03
1.494470732497726e-03	1.389377e-03	2.109936e-03
1.496208770702816e-03	9.527497e-04	-1.640104e-04
1.499900091636646e-03	2.510971e-05	-5.388797e-03
1.500241502747719e-03	-6.069624e-05	-5.932315e-03
1.500404496789311e-03	-1.016610e-04	-6.235315e-03
1.500574467460630e-03	-1.443791e-04	-6.604526e-03
1.500745744492057e-03	-1.874254e-04	-7.037918e-03
1.500902290768153e-03	-2.267692e-04	-7.503129e-03
1.501040673130047e-03	-2.615478e-04	-7.985163e-03
1.501165840203896e-03	-2.930050e-04	-8.490944e-03
1.501366447412263e-03	-3.434215e-04	-9.468885e-03
1.501547212424296e-03	-3.888508e-04	-1.057340e-02
1.501753533112510e-03	-4.407020e-04	-1.211586e-02
1.501856432110626e-03	-4.665617e-04	-1.300517e-02
1.501995586440765e-03	-5.015325e-04	-1.432989e-02
1.502149570088567e-03	-5.402295e-04	-1.593146e-02
1.502810679270234e-03	-7.063641e-04	-2.343827e-02
